customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_numeric,TotalServices,TenureGroup,AvgMonthlySpend,SupportCount,SpendTrend,tenure_score,charges_score,services_score,value_score,ValueTier,ChurnProbability,RiskCategory
8012-SOUDQ,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3838.75,0,0,4,1,89.27325581395348,0,0.9767441860465169,1,2,1,4,Medium,0.4878681252495352,Medium Risk
9420-LOJKX,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1,1,5,0,95.09333333333333,1,4.006666666666661,1,2,2,5,High,0.4291266803839786,Medium Risk
6575-SUVOI,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1752.65,0,0,5,1,70.10600000000001,2,-0.6060000000000088,1,1,2,4,Medium,0.21601219395106613,Low Risk
7495-OOKFY,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1,1,3,3,79.1625,0,1.4875000000000114,0,1,1,2,Low,0.7100321572977292,High Risk
4667-QONEA,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,4456.35,0,0,6,2,74.27250000000001,3,0.5774999999999864,2,1,2,5,High,0.022555955074146764,Low Risk
1658-BYGOY,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,1,4,0,97.36388888888888,0,-1.9138888888888772,1,2,1,4,Medium,0.7156087928700854,High Risk
8769-KKTPH,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,6311.2,0,0,5,2,100.17777777777778,1,-0.5277777777777715,2,2,2,6,High,0.16322162157272946,Low Risk
5067-XJQFU,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,7076.35,0,0,7,2,107.21742424242424,2,1.2325757575757592,2,2,2,6,High,0.17212520387846875,Low Risk
3957-SQXML,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,894.3,0,0,2,1,26.302941176470586,0,-1.352941176470587,1,0,0,1,Low,0.010402643441451465,Low Risk
5954-BDFSG,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7,0,0,6,2,109.07916666666667,2,-1.5791666666666657,2,2,2,6,High,0.10220984828399206,Low Risk
0434-CSFON,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4707.1,0,0,5,1,100.15106382978725,1,0.3489361702127525,1,2,2,5,High,0.5538510048600934,Medium Risk
1215-FIGMP,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,0,0,4,2,90.845,0,-0.9449999999999932,2,2,1,5,High,0.33271460071247577,Medium Risk
0526-SXDJP,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2962.0,0,0,3,2,41.138888888888886,2,0.9611111111111157,2,0,1,3,Medium,0.008317031590497282,Low Risk
0557-ASKVU,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,957.1,0,0,3,0,53.172222222222224,2,1.2277777777777743,1,1,1,3,Medium,0.06227349934204193,Low Risk
5698-BQJOH,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1,1,4,3,95.25,0,-0.8499999999999943,0,2,1,3,Medium,0.7689391413320501,High Risk
5122-CYFXA,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,244.1,0,0,5,3,81.36666666666666,1,-6.066666666666663,0,1,2,3,Medium,0.4761610718267988,Medium Risk
8627-ZYGSZ,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35,0,0,3,1,77.66702127659575,0,1.2329787234042584,1,1,1,3,Medium,0.16055308276363764,Low Risk
3410-YOQBQ,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2497.2,0,0,6,1,80.55483870967741,2,-1.3548387096774093,1,1,2,4,Medium,0.04120570394324049,Low Risk
3170-NMYVV,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9,0,0,1,2,18.618,0,1.532,2,0,0,2,Low,0.0039610348416254035,Low Risk
7410-OIEDU,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,887.35,0,0,3,3,88.735,2,-8.885000000000005,0,1,1,2,Low,0.5563458005154673,Medium Risk
2273-QCKXA,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,49.05,0,0,2,3,49.05,1,0.0,0,0,0,0,Low,0.32085517075883635,Medium Risk
0731-EBJQB,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,1090.65,0,0,1,2,20.974038461538463,0,-0.5740384615384642,2,0,0,2,Low,0.012798250471086767,Low Risk
1891-QRQSA,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,7099.0,0,0,7,2,110.921875,3,0.6781249999999943,2,2,2,6,High,0.0680805265293904,Low Risk
8028-PNXHQ,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1424.6,0,0,2,2,22.97741935483871,0,1.272580645161291,2,0,0,2,Low,0.00426164965646885,Low Risk
5630-AHZIL,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,177.4,0,0,4,3,59.13333333333333,2,5.366666666666667,0,1,1,2,Low,0.23132511566022623,Low Risk
2673-CXQEU,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5,0,0,7,2,109.63392857142857,2,0.8660714285714306,2,2,2,6,High,0.21849778223025776,Low Risk
6416-JNVRK,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2688.85,0,0,2,1,58.45326086956521,0,-2.8032608695652144,1,1,0,2,Low,0.05846757082472839,Low Risk
5590-ZSKRV,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,482.25,0,0,3,3,60.28125,1,-5.631250000000001,0,1,1,2,Low,0.21036506910676403,Low Risk
0191-ZHSKZ,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,2111.3,0,0,5,1,70.37666666666668,1,4.373333333333321,1,1,2,4,Medium,0.21592546021851244,Low Risk
3887-PBQAO,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,1216.6,0,0,2,1,27.035555555555554,0,-1.1355555555555554,1,0,0,1,Low,0.019920350508345386,Low Risk
5919-TMRGD,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1,1,2,3,79.35,0,0.0,0,1,0,1,Low,0.7033397194706605,High Risk
8108-UXRQN,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35,0,0,3,3,51.39545454545455,1,-0.845454545454551,0,1,1,2,Low,0.4920972613067231,Medium Risk
9191-MYQKX,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1,1,2,3,70.98571428571428,1,4.164285714285725,0,1,0,1,Low,0.6199181026430725,Medium Risk
9919-YLNNG,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5,0,0,6,1,103.03571428571429,2,0.7642857142857054,1,2,2,5,High,0.3198520527250514,Medium Risk
0318-ZOPWS,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,973.35,0,0,1,2,19.864285714285714,0,0.2857142857142847,2,0,0,2,Low,0.00709745794044871,Low Risk
4445-ZJNMU,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,0,0,5,3,102.08333333333333,0,-2.7833333333333314,0,2,2,4,Medium,0.7706845231020927,High Risk
4808-YNLEU,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45,0,0,3,1,63.29857142857142,1,-1.1485714285714224,1,1,1,3,Medium,0.07280522246375278,Low Risk
1862-QRWPE,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1057.0,0,0,1,1,22.020833333333332,0,-1.3708333333333336,2,0,0,2,Low,0.0039123569205880716,Low Risk
2796-NNUFI,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,0,0,1,1,20.15434782608696,0,-0.20434782608695912,1,0,0,1,Low,0.006503068173359292,Low Risk
3016-KSVCP,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,1009.25,0,0,1,1,34.80172413793103,0,-1.051724137931032,1,0,0,1,Low,0.337262403273053,Medium Risk
4767-HZZHQ,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2570.2,0,0,3,1,85.67333333333333,1,-3.623333333333335,1,1,1,3,Medium,0.24729341577211014,Low Risk
2424-WVHPL,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,74.7,0,0,2,3,74.7,1,0.0,0,1,0,1,Low,0.5652840605573153,Medium Risk
7233-PAHHL,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5714.25,0,0,7,2,86.57954545454545,3,-2.5795454545454533,2,1,2,5,High,0.019974843812845453,Low Risk
6067-NGCEU,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,7107.0,0,0,7,2,109.33846153846154,2,1.7115384615384528,2,2,2,6,High,0.3388607866476129,Medium Risk
9848-JQJTX,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,7459.05,0,0,6,2,103.59791666666666,1,-2.697916666666657,2,2,2,6,High,0.09406399701562082,Low Risk
8637-XJIVR,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1,1,3,3,77.27916666666667,1,1.6708333333333343,0,1,1,2,Low,0.5743720029717547,Medium Risk
9803-FTJCG,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4748.7,0,0,5,2,66.8830985915493,2,-0.0330985915493045,2,1,2,5,High,0.012673438700129016,Low Risk
0278-YXOOG,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1,1,1,3,22.77,0,-1.7199999999999989,0,0,0,0,Low,0.20234684695199054,Low Risk
3212-KXOCR,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2,0,0,1,2,21.292307692307695,0,-0.2923076923076948,2,0,0,2,Low,0.004711392586818285,Low Risk
4598-XLKNJ,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1,1,5,1,100.58,1,-2.0799999999999983,1,2,2,5,High,0.6111038608010357,Medium Risk
6380-ARCEH,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,20.2,0,0,1,3,20.2,0,0.0,0,0,0,0,Low,0.22403567961552268,Low Risk
3679-XASPY,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,19.45,0,0,1,3,19.45,0,0.0,0,0,0,0,Low,0.17954301153640098,Low Risk
7123-WQUHX,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3605.6,0,0,5,1,94.88421052631578,2,0.11578947368421666,1,2,2,5,High,0.17367224186759697,Low Risk
5386-THSLQ,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,3027.25,0,0,3,2,45.86742424242424,1,-0.31742424242424505,2,0,1,3,Medium,0.06336136094650195,Low Risk
3192-NQECA,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,1,1,7,2,111.93897058823529,2,-1.9389705882352928,2,2,2,6,High,0.08477799750919768,Low Risk
6180-YBIQI,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,100.2,0,0,0,3,20.04,0,4.260000000000002,0,0,0,0,Low,0.5614904236427957,Medium Risk
6728-DKUCO,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,7303.05,0,0,6,2,101.43125,1,2.71875,2,2,2,6,High,0.11890191031505576,Low Risk
9750-BOOHV,0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,927.65,0,0,1,1,28.9890625,1,1.1609374999999993,1,0,0,1,Low,0.08623793011053137,Low Risk
8597-CWYHH,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,0,0,4,1,91.19302325581396,0,3.1569767441860392,1,2,1,4,Medium,0.2884885576621146,Low Risk
2848-YXSMW,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,1363.25,0,0,1,2,18.93402777777778,0,0.46597222222222,2,0,0,2,Low,0.0015839550283951915,Low Risk
0486-HECZI,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,1,1,5,2,95.25272727272727,1,1.4972727272727298,2,2,2,6,High,0.30779392172094344,Medium Risk
4549-ZDQYY,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,3042.25,0,0,4,2,58.50480769230769,3,-0.5548076923076906,2,1,1,4,Medium,0.017372150399570106,Low Risk
5712-AHQNN,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3954.1,0,0,4,1,91.95581395348837,1,-0.30581395348836793,1,2,1,4,Medium,0.3822292291129677,Medium Risk
4846-WHAFZ,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1,1,2,1,77.51756756756757,0,-1.0175675675675677,1,1,0,2,Low,0.49160841220082696,Medium Risk
5256-SKJGO,0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,3423.5,0,0,4,2,53.4921875,1,1.1078125000000014,2,1,1,4,Medium,0.026514433532480796,Low Risk
3071-VBYPO,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,248.4,0,0,4,3,82.8,1,7.049999999999997,0,2,1,3,Medium,0.4485934931985266,Medium Risk
9560-BBZXK,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,1126.35,0,0,1,1,31.287499999999998,1,-0.23749999999999716,1,0,0,1,Low,0.02996447686995907,Low Risk
5299-RULOA,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,1,1,5,3,106.465,1,-6.215000000000003,0,2,2,4,Medium,0.6987573582498885,Medium Risk
8402-OOOHJ,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,835.15,0,0,1,1,20.36951219512195,0,0.2804878048780495,1,0,0,1,Low,0.007839918222354598,Low Risk
9445-ZUEQE,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,2151.6,0,0,4,1,79.68888888888888,1,5.51111111111112,1,2,1,4,Medium,0.27164076034276036,Low Risk
1091-SOZGA,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,5515.45,0,0,5,2,98.49017857142857,1,1.309821428571425,2,2,2,6,High,0.2675719382798178,Low Risk
2928-HLDBA,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,112.75,0,0,1,3,18.791666666666668,0,1.9083333333333314,0,0,0,0,Low,0.1950883523762514,Low Risk
0404-SWRVG,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,1,1,2,3,76.51666666666667,0,-2.11666666666666,0,1,0,1,Low,0.7391545950115006,High Risk
6497-TILVL,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35,0,0,2,3,50.050000000000004,1,0.6499999999999986,0,1,0,1,Low,0.2395489594665303,Low Risk
7219-TLZHO,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,62.9,0,0,1,3,15.725,0,5.125000000000002,0,0,0,0,Low,0.16834920744510395,Low Risk
4622-YNKIJ,1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,3027.65,0,0,4,1,91.7469696969697,2,-2.796969696969697,1,2,1,4,Medium,0.06599627332577278,Low Risk
4412-YLTKF,0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,1,1,3,1,79.0925925925926,1,-1.042592592592598,1,1,1,3,Medium,0.5496961624393611,Medium Risk
6734-PSBAW,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1723.95,0,0,2,2,23.94375,0,-0.3937500000000007,2,0,0,2,Low,0.003638923121132219,Low Risk
3930-ZGWVE,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,19.75,0,0,1,3,19.75,0,0.0,0,0,0,0,Low,0.22210322591693407,Low Risk
2639-UGMAZ,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35,0,0,4,2,56.131690140845066,1,0.3183098591549367,2,1,1,4,Medium,0.06986516909115799,Low Risk
2876-GZYZC,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,1215.65,0,0,3,0,93.51153846153846,0,-7.561538461538461,0,2,1,3,Medium,0.6572118522169873,Medium Risk
